"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.412652958E0,-3.316157141E0,4.619355183E-1,-8.060299069E-1,3.443830254E0
2.422689958E0,-3.503521811E0,-8.456941288E-2,-9.288342994E-1,3.625541369E0
2.432727958E0,-3.516322535E0,-6.265200940E-1,-9.148185235E-1,3.686996682E0
2.442765958E0,-3.000808907E0,-8.554777631E-1,-5.058677691E-1,3.161107163E0
2.452803958E0,-2.355169587E0,-8.494788853E-1,3.383690143E-1,2.526446467E0
2.462841958E0,-1.839219464E0,-8.149952234E-1,1.708851698E0,2.639530181E0
2.472879958E0,-1.580659389E0,-8.205324635E-1,3.554507192E0,3.975711132E0
2.482917958E0,-1.469204149E0,-9.240210908E-1,5.621119611E0,5.882972164E0
2.492954958E0,-1.377734985E0,-9.020224037E-1,7.534444347E0,7.712305085E0
2.502992958E0,-9.615500557E-1,-9.357441004E-1,9.028245394E0,9.127398886E0
2.513030958E0,-4.003547627E-1,-1.161611662E0,9.662413938E0,9.740219130E0
2.523068958E0,1.819016165E-1,-1.459798611E0,9.215277357E0,9.331957830E0
2.533106958E0,7.464543808E-1,-1.776118944E0,8.008043087E0,8.236537302E0
2.543144958E0,1.066953135E0,-1.819206199E0,6.510786336E0,6.843846791E0
2.553181958E0,1.204499527E0,-1.488618513E0,4.846523166E0,5.211102665E0
2.563219958E0,1.373755955E0,-1.018347277E0,3.340886185E0,3.753099666E0
2.573257958E0,1.457243962E0,-5.001481690E-1,2.147413337E0,2.642932499E0
2.583295958E0,1.374806407E0,-1.719438082E-1,1.244988572E0,1.862700694E0
2.593333958E0,1.403583772E0,-7.952110961E-2,7.215388101E-1,1.580186465E0
2.603371958E0,1.369822825E0,-1.264460385E-4,5.879235005E-1,1.490660468E0
2.613408958E0,1.047002435E0,-2.161715627E-3,6.205468708E-1,1.217085531E0
2.623446958E0,5.803852701E-1,-9.985363260E-2,5.652287024E-1,8.162728072E-1
2.633484958E0,1.365772167E-1,-2.826409560E-1,4.407824117E-1,5.411361941E-1
2.643522958E0,-2.421700376E-1,-3.729604112E-1,2.744735652E-1,5.225720366E-1
2.653560958E0,-4.937997007E-1,-4.732126777E-1,1.002183527E-1,6.912395395E-1
2.663598958E0,-6.007429361E-1,-5.577118143E-1,-1.163286012E-1,8.279292764E-1
2.673636958E0,-5.733820599E-1,-6.456882901E-1,-4.926992548E-1,9.941996330E-1
2.683673958E0,-3.652308306E-1,-7.171399498E-1,-8.122221082E-1,1.143410696E0
2.693711958E0,7.836467654E-2,-6.879686294E-1,-9.782958966E-1,1.198542748E0
2.703749958E0,5.329634741E-1,-5.518464723E-1,-1.058904442E0,1.307617380E0
2.713787958E0,9.459023219E-1,-5.682141446E-1,-1.103904029E0,1.560833951E0
2.723825958E0,1.240578894E0,-7.877006400E-1,-1.247821548E0,1.927839959E0
2.733863958E0,1.318871358E0,-9.361126211E-1,-1.437573051E0,2.163872634E0
2.743900958E0,1.194576218E0,-1.047462903E0,-1.677963197E0,2.310790203E0
2.753938958E0,9.674206603E-1,-1.036660026E0,-1.944538928E0,2.406615546E0
2.763976958E0,7.401282781E-1,-1.029288587E0,-2.227250635E0,2.562785644E0
2.774014958E0,7.144940847E-1,-1.082915449E0,-2.417693864E0,2.743802341E0
2.784052958E0,8.194957522E-1,-1.090842811E0,-2.504184709E0,2.851745497E0
2.794090958E0,9.056685081E-1,-1.017143774E0,-2.516108935E0,2.861052443E0
2.804127958E0,1.046129738E0,-9.817983788E-1,-2.500227313E0,2.882612028E0
2.814165958E0,1.316924820E0,-1.049960249E0,-2.407744827E0,2.938357135E0
2.824203958E0,1.683396429E0,-1.153598784E0,-2.288672712E0,3.066371875E0
2.834241958E0,1.975445263E0,-1.295401950E0,-2.186455196E0,3.218856400E0
2.844279958E0,2.100288287E0,-1.393203356E0,-2.119976447E0,3.293406537E0
2.854317958E0,2.014100036E0,-1.494042390E0,-2.105415126E0,3.274375433E0
2.864355958E0,1.914727191E0,-1.692867311E0,-2.239376591E0,3.398056424E0
2.874392958E0,1.765878423E0,-1.929172445E0,-2.540755534E0,3.646295601E0
