"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.999412625E0,-6.028563026E-1,-2.165336515E-1,2.463290452E0,2.545215589E0
2.009442625E0,-9.917370375E-1,-9.210007846E-2,1.693873470E0,1.965001809E0
2.019472625E0,-1.191771601E0,9.105971262E-2,7.539282918E-1,1.413159329E0
2.029502625E0,-1.103854766E0,4.438042527E-1,-3.560369611E-1,1.241861457E0
2.039532625E0,-1.011391868E0,5.674208236E-1,-8.588203239E-1,1.443070425E0
2.049561625E0,-1.120115800E0,5.997296137E-1,-7.120803541E-1,1.456500410E0
2.059591625E0,-1.345435989E0,5.236012048E-1,-2.645561028E-1,1.467769108E0
2.069621625E0,-1.568471452E0,1.410325027E-1,8.703697443E-2,1.577202681E0
2.079651625E0,-1.446652023E0,-3.188445765E-1,1.017339510E-1,1.484861521E0
2.089681625E0,-1.076494109E0,-5.724637547E-1,1.768122000E-1,1.231997107E0
2.099711625E0,-8.550992290E-1,-5.771324641E-1,2.067639774E-1,1.052153941E0
2.109741625E0,-6.601687735E-1,-2.676276451E-1,1.327084064E-1,7.246094721E-1
2.119771625E0,-4.561301102E-1,-1.280756575E-1,-6.785342932E-2,4.786043662E-1
2.129801625E0,-5.549409650E-1,-2.352647683E-1,-4.146307397E-1,7.315925342E-1
2.139831625E0,-4.977520531E-1,-1.158915219E-1,-6.000114495E-1,7.881634923E-1
2.149861625E0,-8.472146241E-1,-2.604320616E-2,-6.946819639E-1,1.095916922E0
2.159891625E0,-1.370480637E0,-7.723353267E-2,-7.057355404E-1,1.543452250E0
2.169921625E0,-1.757111400E0,-2.387423998E-1,-6.057323653E-1,1.873859681E0
2.179951625E0,-2.035461962E0,-3.949548590E-1,-3.722021735E-1,2.106568109E0
2.189981625E0,-2.143444247E0,-5.684949571E-1,1.281885087E-2,2.217589701E0
2.200011625E0,-2.109007802E0,-6.506588620E-1,4.619271129E-1,2.254916300E0
2.210041625E0,-1.883521771E0,-6.819133991E-1,8.760614240E-1,2.186353988E0
2.220071625E0,-1.531545408E0,-6.969714412E-1,1.170640056E0,2.049828936E0
2.230101625E0,-1.196693787E0,-8.093572649E-1,1.369914334E0,1.990929553E0
2.240131625E0,-8.759431641E-1,-9.110868305E-1,1.520960779E0,1.977543256E0
2.250161625E0,-7.439415398E-1,-9.020213073E-1,1.557345078E0,1.947412423E0
2.260191625E0,-8.059885378E-1,-8.311694258E-1,1.408014207E0,1.822899927E0
2.270221625E0,-9.700025714E-1,-7.204871884E-1,1.036941131E0,1.592247998E0
2.280251625E0,-1.081424628E0,-6.304532236E-1,5.175809115E-1,1.354562842E0
2.290284667E0,-1.197139856E0,-5.999614558E-1,-2.809996426E-2,1.339360740E0
2.300314667E0,-1.377843597E0,-5.481902084E-1,-5.569502145E-1,1.584032520E0
2.310344667E0,-1.542795305E0,-3.950878832E-1,-9.413999659E-1,1.850012347E0
2.320374667E0,-1.611729738E0,-2.971078447E-1,-1.091240129E0,1.968946632E0
2.330404667E0,-1.603691133E0,-3.013456142E-1,-1.153798320E0,1.998470663E0
2.340434667E0,-1.590494405E0,-2.398086396E-1,-1.273898376E0,2.051827894E0
2.350464667E0,-1.503386095E0,-5.564181179E-2,-1.424359514E0,2.071730143E0
2.360494667E0,-1.320196337E0,1.544246730E-1,-1.476671628E0,1.986787469E0
2.370524667E0,-1.255835303E0,2.565933645E-1,-1.490714886E0,1.966009495E0
2.380553667E0,-1.212981864E0,4.299144843E-1,-1.423825078E0,1.919226229E0
2.390583667E0,-1.183069993E0,5.099102417E-1,-1.367349161E0,1.878644935E0
2.400613667E0,-1.127066385E0,5.146081871E-1,-1.365976235E0,1.844177675E0
2.410643667E0,-1.023546329E0,5.609011781E-1,-1.232111249E0,1.697160967E0
2.420673667E0,-9.508674120E-1,6.820528552E-1,-9.485119343E-1,1.506326599E0
2.430703667E0,-9.839170443E-1,7.854292890E-1,-7.368561763E-1,1.458749102E0
2.440733667E0,-1.079662642E0,8.052101272E-1,-5.174493492E-1,1.442840462E0
2.450763667E0,-1.160813737E0,8.069432420E-1,-2.296037865E-1,1.432258296E0
2.460793667E0,-1.240550535E0,8.047227618E-1,7.846612573E-2,1.480777258E0
2.470823667E0,-1.283892437E0,8.160833171E-1,2.810633773E-1,1.547051515E0
2.480853667E0,-1.201629787E0,9.191878554E-1,4.862252176E-1,1.589098933E0
2.490883667E0,-1.064383137E0,1.003326657E0,7.164055395E-1,1.628745757E0
2.500913667E0,-1.027390654E0,9.830450052E-1,8.013842940E-1,1.632215006E0
2.510943667E0,-9.835461116E-1,9.263436779E-1,8.064392120E-1,1.573473789E0
2.520973667E0,-8.251730331E-1,8.907958227E-1,8.590612292E-1,1.487418545E0
2.531003667E0,-7.467615788E-1,8.586738512E-1,8.861116183E-1,1.442278558E0
2.541033667E0,-6.192438188E-1,8.381384298E-1,8.122718096E-1,1.321258653E0
2.551063667E0,-3.900146196E-1,8.061003658E-1,7.060963136E-1,1.140386429E0
2.561093667E0,-2.174178967E-1,7.323786709E-1,6.126542991E-1,9.792825688E-1
2.571123667E0,-7.645475663E-2,7.079715157E-1,5.376427084E-1,8.922604321E-1
2.581153667E0,4.370537885E-2,7.196484053E-1,3.981661499E-1,8.236141513E-1
2.591183667E0,3.375809558E-2,6.536649156E-1,1.371476126E-1,6.687502512E-1
2.601213667E0,-6.849545360E-2,5.769871607E-1,-1.669631499E-1,6.045514902E-1
2.611243667E0,-9.664204940E-2,5.883687660E-1,-3.088581169E-1,6.714989403E-1
