"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.080790667E0,-1.089981662E0,-1.878257815E0,-2.801673499E0,3.544754835E0
2.090819667E0,2.484955555E-1,-1.913992781E0,-2.694915621E0,3.314768259E0
2.100849667E0,1.484602792E0,-1.921878336E0,-2.565159473E0,3.532379497E0
2.110878667E0,2.485583839E0,-1.549115999E0,-2.602261811E0,3.917863439E0
2.120907667E0,2.558325248E0,-1.170047440E0,-3.237898591E0,4.289292060E0
2.130936667E0,1.872329907E0,-1.134108114E0,-3.944783109E0,4.511444810E0
2.140965667E0,5.053124298E-1,-1.278085859E0,-4.247465982E0,4.464281732E0
2.150994667E0,-6.154887369E-1,-1.109938940E0,-3.768193104E0,3.976187886E0
2.161024667E0,-1.211189327E0,-3.109666228E-1,-2.795988836E0,3.062879919E0
2.171053667E0,-1.611512222E0,1.165767571E0,-1.508966970E0,2.496591073E0
2.181082667E0,-1.136529958E0,2.371367836E0,2.112920612E-1,2.638130037E0
2.191111667E0,-1.523509580E0,2.735732694E0,2.931039637E0,4.289091765E0
2.201140667E0,-1.869809757E0,2.362697585E0,6.490929776E0,7.156165018E0
2.211169667E0,-1.810821584E0,2.029937220E0,1.078566406E1,1.112341086E1
2.221199667E0,-1.052459495E0,2.335975517E0,1.484289030E1,1.506239838E1
2.231228667E0,6.055497859E-1,2.155138971E0,1.722087105E1,1.736576270E1
2.241257667E0,2.286074209E0,1.726391591E0,1.760938461E1,1.784087973E1
2.251286667E0,3.404129670E0,1.824064943E0,1.697443196E1,1.740823518E1
2.261315667E0,3.882413199E0,2.463742734E0,1.639707788E1,1.702960139E1
2.271344667E0,3.792271938E0,2.734993314E0,1.614419984E1,1.680763824E1
2.281374667E0,3.299195538E0,2.427434741E0,1.621968973E1,1.672888118E1
2.291403667E0,2.606407779E0,1.933680648E0,1.601890336E1,1.634434909E1
2.301432667E0,1.925867306E0,1.765611790E0,1.500103410E1,1.522686356E1
2.311461667E0,1.510359338E0,1.753063957E0,1.335857929E1,1.355750932E1
2.321490667E0,1.339360878E0,1.623890485E0,1.164277583E1,1.183153147E1
2.331519667E0,1.154647848E0,1.494734555E0,9.885974042E0,1.006478643E1
2.341548667E0,9.150625717E-1,1.618179802E0,8.120283315E0,8.330356925E0
2.351578667E0,1.370624479E0,1.698692161E0,6.599164662E0,6.950765480E0
2.361607667E0,2.029863106E0,1.800138136E0,5.684888175E0,6.299110660E0
2.371636667E0,1.405802936E0,2.704272043E0,4.595098740E0,5.514009576E0
2.381665667E0,1.240437246E0,3.002701943E0,3.323498905E0,4.647639023E0
2.391694667E0,1.655922410E0,2.441708379E0,2.391076169E0,3.797533947E0
2.401723667E0,1.851272622E0,1.720670090E0,2.272175378E0,3.398631611E0
2.411753667E0,1.929104910E0,8.917913112E-1,2.778876375E0,3.498412698E0
2.421782667E0,2.368711300E0,-1.091982141E-1,3.798668792E0,4.478013182E0
2.431811667E0,2.491795043E0,-6.932502732E-1,4.221900786E0,4.951170036E0
2.441840667E0,2.305133355E0,-5.449733627E-1,2.904437730E0,3.747851955E0
